code;label-en_US;attribute;sort_order
border;Border;style;0
geometric;Geometric;style;0
floral;Floral;style;0
traditional;Traditional;style;0
solids;Solids;style;0
stripes;Stripes;style;0
coastal;Coastal;style;0
animals;Animals;style;0
embellished;Embellished;style;0
freestanding;Freestanding;patio_heater_type;0
wall_ceiling_post_mount;"Wall/Ceiling/Post Mount";patio_heater_type;0
cantilever;Cantilever;umbrella_type;0
market;Market;umbrella_type;0
aluminum;Aluminum;furniture_material;0
bamboo;Bamboo;furniture_material;0
woven;Woven;furniture_material;0
teak;Teak;furniture_material;0
steel;Steel;furniture_material;0
recycled_plastic;"Recycled Plastic";furniture_material;0
marine_grade_polymer;"Marine Grade Polymer";furniture_material;0
sling;Sling;furniture_material;0
upholstered_fabric;Upholstered/Fabric;furniture_material;0
iron;Iron;furniture_material;0
stone;Stone;furniture_material;0
wood;Wood;furniture_material;0
concrete;Concrete;furniture_material;0
fiberglass;Fiberglass;furniture_material;0
resin;Resin;furniture_material;0
aluminum;Aluminum;fire_pit_material;0
stainless_steel;"Stainless Steel";fire_pit_material;0
concrete;Concrete;fire_pit_material;0
marble_porcelain;Marble/Porcelain;fire_pit_material;0
natural_stone;"Natural Stone";fire_pit_material;0
wood;Wood;fire_pit_material;0
granite;Granite;fire_pit_material;0
marine_grade_polymer;"Marine Grade Polymer";fire_pit_material;0
aluminum;Aluminum;heater_material;0
stainless_steel;"Stainless Steel";heater_material;0
aluminum;Aluminum;planter_material;0
cor_ten_steel;"Cor-Ten Steel";planter_material;0
fiberglass;Fiberglass;planter_material;0
fiberstone;Fiberstone;planter_material;0
recycled_plastic;"Recycled Plastic";planter_material;0
teak;Teak;planter_material;0
olefin;Olefin;rug_material;0
polyacrylic;Polyacrylic;rug_material;0
polyester;Polyester;rug_material;0
polyester_acrylic;Polyester/Acrylic;rug_material;0
polypropylene;Polypropylene;rug_material;0
polypropylene_polyester;Polypropylene/Polyester;rug_material;0
aluminum;Aluminum;lighting_material;0
stainless_steel;"Stainless Steel";lighting_material;0
synthetic_rope;"Synthetic Rope";lighting_material;0
teak;Teak;lighting_material;0
polypropylene;Polypropylene;lighting_material;0
cushion_required;"Cushion Required";cushions;0
cushion_optional;"Cushion Optional";cushions;0
no_cushion;"No Cushion";cushions;0
300_and_less;"$300 and less";price_range;0
301_500;"$301 - $500";price_range;0
501_750;"$501 - $750";price_range;0
751_1000;"$751 - $1000";price_range;0
1001_1500;"$1001 - $1500";price_range;0
1501_2000;"$1501 - $2000";price_range;0
2001_and_up;"$2001 and up";price_range;0
blue;Blue;color_family;0
red;Red;color_family;0
yellow;Yellow;color_family;0
orange;Orange;color_family;0
green;Green;color_family;0
purple;Purple;color_family;0
gray;Gray;color_family;0
black;Black;color_family;0
white;White;color_family;0
neutral;Neutral;color_family;0
multi;Multi;color_family;0
bronze;Bronze;color_family;0
silver;Silver;color_family;0
gold;Gold;color_family;0
with_back;"With Back";daybed_style;0
backless;Backless;daybed_style;0
with_wheels;"With Wheels";wheels;0
whout_wheels;"Whout Wheels";wheels;0
double;Double;chaise_features;0
single;Single;chaise_features;0
sliding_tray;"Sliding Tray";chaise_features;0
with_arms;"With Arms";chaise_features;0
with_knee_bend;"With Knee Bend";chaise_features;0
without_arms;"Without Arms";chaise_features;0
without_knee_bend;"Without Knee Bend";chaise_features;0
backless;Backless;bench_style;0
curved;Curved;bench_style;0
with_back;"With Back";bench_style;0
16_in16_in;"16 in. x 16 in.";pillow_size;0
18_in18_in;"18 in. x 18 in.";pillow_size;0
20_in20_in;"20 in. x 20 in.";pillow_size;0
22_in22_in;"22 in. x 22 in.";pillow_size;0
24_in24_in;"24 in. x 24 in.";pillow_size;0
18_in7_in;"18 in. x 7 in.";pillow_size;0
20_in12_in;"20 in. x 12 in.";pillow_size;0
24_in12_in;"24 in. x 12 in.";pillow_size;0
41;"303 Products";brand;0
173;"ALFA Ovens";brand;0
42;"Alfresco Grills";brand;0
43;"Amazon Lights";brand;0
44;"American Fireglass";brand;0
153;Athena;brand;0
162;"Aura Heaters";brand;0
48;Bambrella;brand;0
49;"Barlow Tyrie";brand;0
50;Bentintoshape;brand;0
51;"Bromic Heating";brand;0
164;Cane-Line;brand;0
53;"Capel Rugs";brand;0
166;Capi;brand;0
54;"Capital Garden";brand;0
55;Century;brand;0
56;"Classic Cushions";brand;0
57;Couristan;brand;0
58;"DEKKO Fire Pits";brand;0
152;EcoJet;brand;0
59;"Elaine Smith Pillows";brand;0
60;Elementi;brand;0
169;Enduraleaf;brand;0
174;Everdure;brand;0
62;"Fire Pit Art";brand;0
151;"Floating Luxuries";brand;0
64;Galtech;brand;0
65;Gloster;brand;0
66;"Golden Care";brand;0
154;Hestan;brand;0
165;Houe;brand;0
68;Infratech;brand;0
175;"Jaipur Living";brand;0
143;"Jardinico Umbrellas";brand;0
70;"Kamado Joe";brand;0
170;Kannoa;brand;0
138;"Kingsley Bate";brand;0
150;Koverroos;brand;0
149;"La Siesta";brand;0
72;"Lane Venture";brand;0
73;"Lee Industries";brand;0
74;"Looft USA";brand;0
159;"Lowcountry Originals";brand;0
75;"Lynx Grills";brand;0
141;Modeno;brand;0
172;Nardi;brand;0
76;"Oriental Weavers Rugs";brand;0
167;"Outdoor Decor Curtains";brand;0
77;"Outdura Fabrics";brand;0
78;"Patio Comfort";brand;0
79;Perlick;brand;0
155;Pilgrim;brand;0
81;Polywood;brand;0
82;"Pottery Pots";brand;0
147;"POVL Outdoor";brand;0
160;"Prism Hardscapes";brand;0
84;"R & R Living";brand;0
86;"Saber Grills";brand;0
158;Shademaker;brand;0
87;"Silver State Fabrics";brand;0
176;SmokeBloq;brand;0
88;"Solair Shade Solutions";brand;0
163;"Source Furniture";brand;0
90;"Summit Classic Collection";brand;0
91;"Sunbrella Fabrics";brand;0
92;SunBriteTV;brand;0
93;Sunglo;brand;0
148;"Sunset West";brand;0
168;Talenti;brand;0
94;"Telescope Casual";brand;0
96;"The Hammock Source";brand;0
97;"Trans-Ocean Rugs";brand;0
98;"Travis Industries";brand;0
99;"Treasure Garden";brand;0
100;Tuuci;brand;0
101;"U-Line Appliances";brand;0
103;"Vin De Flame";brand;0
47;Woodard;brand;0
144;"Woodline Shade Solutions";brand;0
107;"Zachary A. Design";brand;0
108;ZEE;brand;0
2_4_people;"2 - 4 people";seating_capacity;0
4_6_people;"4 - 6 people";seating_capacity;0
6_8_people;"6 - 8 people";seating_capacity;0
8_10_people;"8 - 10 people";seating_capacity;0
10_people_or_more;"10 people or more";seating_capacity;0
rectangular;Rectangular;canopy_shape;0
round;Round;canopy_shape;0
square;Square;canopy_shape;0
octagonal;Octagonal;canopy_shape;0
oval;Oval;canopy_shape;0
novelty;Novelty;canopy_shape;0
wood;Wood;frame_material;0
bamboo;Bamboo;frame_material;0
metal;Metal;frame_material;0
stone;Stone;frame_material;0
plastic;Plastic;frame_material;0
single_wind_vent;"Single Wind Vent";vent_style;0
double_wind_vent;"Double Wind Vent";vent_style;0
auto_tilt;"Auto Tilt";tilt;0
collar_tilt;"Collar Tilt";tilt;0
manual_tilt;"Manual Tilt";tilt;0
no_tilt;"No Tilt";tilt;0
push_button_tilt;"Push Button Tilt";tilt;0
glide_tilt;"Glide Tilt";tilt;0
rotational_tilt;"Rotational Tilt";tilt;0
crank_lift;"Crank Lift";lift_method;0
manual_lift;"Manual Lift";lift_method;0
pulley_lift;"Pulley Lift";lift_method;0
1_5_inor_less;"1.5  in. or less";pole_diameter;0
1_525_to_2_in;"1.525 to 2  in.";pole_diameter;0
2_25_inor_more;"2.25  in. or more";pole_diameter;0
50_sq_ft_or_less;"50 sq. ft. or less";heat_coverage_area;0
51_100_sq_ft_;"51 - 100 sq. ft.";heat_coverage_area;0
101_sq_ft_or_more;"101 sq. ft. or more";heat_coverage_area;0
0_10_000;"0 - 10,000";btu_range;0
10_001_20_000;"10,001 - 20,000";btu_range;0
20_001_or_more;"20,001 or more";btu_range;0
20_30_in;"20 - 30 in.";grill_size_range;0
31_42_in;"31 - 42 in.";grill_size_range;0
43_56_in;"43 - 56 in.";grill_size_range;0
7_5_ft_and_less;"7.5 ft. and less";umbrella_size_range;0
8_9_ft_;"8 - 9 ft.";umbrella_size_range;0
9_5_10_ft_;"9.5 - 10 ft.";umbrella_size_range;0
10_5_11_ft_;"10.5 - 11 ft.";umbrella_size_range;0
11_5_ft_and_more;"11.5 ft. and more";umbrella_size_range;0
2_3_;"2' x 3'";rug_size;0
3_5_;"3' x 5'";rug_size;0
4_6_;"4' x 6'";rug_size;0
5_8_;"5' x 8'";rug_size;0
7_9_;"7' x 9'";rug_size;0
8_11_;"8' x 11'";rug_size;0
9_12_;"9' x 12'";rug_size;0
10_13_;"10' x 13'";rug_size;0
11_14_;"11' x 14'";rug_size;0
round;Round;rug_shape;0
runner;Runner;rug_shape;0
square;Square;rug_shape;0
rectangular;Rectangular;rug_shape;0
liquid_propane;"Liquid Propane";heating_fuel;0
natural_gas;"Natural Gas";heating_fuel;0
electric;Electric;heating_fuel;0
wood_burning;"Wood Burning";heating_fuel;0
liquid_propane;"Liquid Propane";cooking_fuel;0
natural_gas;"Natural Gas";cooking_fuel;0
charcoal;Charcoal;cooking_fuel;0
wood_fired;"Wood Fired";cooking_fuel;0
machine_woven;Machine-Woven;construction;0
hand_hooked;Hand-Hooked;construction;0
braided;Braided;construction;0
hand_woven;Hand-Woven;construction;0
hand_tufted;Hand-Tufted;construction;0
oval;Oval;shape;0
rectangular;Rectangular;shape;0
round;Round;shape;0
square;Square;shape;0
wreaths;Wreaths;plant_type;0
trees;Trees;plant_type;0
topiary_balls;"Topiary Balls";plant_type;0
topiaries;Topiaries;plant_type;0
shrubs;Shrubs;plant_type;0
hedges;Hedges;plant_type;0
garlands;Garlands;plant_type;0
garden_accents;"Garden Accents";plant_type;0
columns;Columns;plant_type;0
20_5_24_5_in;"20.5 - 24.5 in.";dining_tables_width_range;0
25_30_in;"25 - 30 in.";dining_tables_width_range;0
30_5_42_in;"30.5 - 42 in.";dining_tables_width_range;0
42_5_50_in;"42.5 - 50 in.";dining_tables_width_range;0
50_5_63_in;"50.5 - 63 in.";dining_tables_width_range;0
63_5_80_in;"63.5 - 80 in.";dining_tables_width_range;0
80_5_inor_more;"80.5 in. or more";dining_tables_width_range;0
20_inor_less;"20 in. or less";accent_tables_width_range;0
20_5_24_5_in;"20.5 - 24.5 in.";accent_tables_width_range;0
25_30_in;"25 - 30 in.";accent_tables_width_range;0
30_5_42_in;"30.5 - 42 in.";accent_tables_width_range;0
42_5_50_in;"42.5 - 50 in.";accent_tables_width_range;0
50_5_63_in;"50.5 - 63 in.";accent_tables_width_range;0
63_5_80_in;"63.5 - 80 in.";accent_tables_width_range;0
80_5_inor_more;"80.5 in. or more";accent_tables_width_range;0
20_inor_less;"20 in. or less";fire_pits_width_range;0
20_5_30_in;"20.5 - 30 in.";fire_pits_width_range;0
30_5_42_in;"30.5 - 42 in.";fire_pits_width_range;0
42_5_50_in;"42.5 - 50 in.";fire_pits_width_range;0
50_5_63_in;"50.5 - 63 in.";fire_pits_width_range;0
63_5_80_in;"63.5 - 80 in.";fire_pits_width_range;0
80_5_inor_more;"80.5 in. or more";fire_pits_width_range;0
15_inor_less;"15 in. or less";planters_width_range;0
15_5_20_in;"15.5 - 20 in.";planters_width_range;0
20_5_25_in;"20.5 - 25 in.";planters_width_range;0
25_5_30_in;"25.5 - 30 in.";planters_width_range;0
30_5_inor_more;"30.5 in. or more";planters_width_range;0
25_28_in;"25 - 28 in.";dining_tables_height_range;0
28_5_32_in;"28.5 - 32 in.";dining_tables_height_range;0
32_5_35_in;"32.5 - 35 in.";dining_tables_height_range;0
35_inor_more;"35 in. or more";dining_tables_height_range;0
20_inor_less;"20 in. or less";accent_tables_height_range;0
20_5_24_5_in;"20.5 - 24.5 in.";accent_tables_height_range;0
25_30_in;"25 - 30 in.";accent_tables_height_range;0
30_inor_more;"30 in. or more";accent_tables_height_range;0
15_inor_less;"15 in. or less";planters_height_range;0
15_5_20_in;"15.5 - 20 in.";planters_height_range;0
20_5_25_in;"20.5 - 25 in.";planters_height_range;0
25_5_30_in;"25.5 - 30 in.";planters_height_range;0
30_5_inor_more;"30.5 in. or more";planters_height_range;0
20_inor_less;"20 in. or less";fire_pits_depth_range;0
20_5_30_in;"20.5 - 30 in.";fire_pits_depth_range;0
30_5_42_in;"30.5 - 42 in.";fire_pits_depth_range;0
42_5_50_in;"42.5 - 50 in.";fire_pits_depth_range;0
50_5_63_in;"50.5 - 63 in.";fire_pits_depth_range;0
63_5_80_in;"63.5 - 80 in.";fire_pits_depth_range;0
80_5_inor_more;"80.5 in. or more";fire_pits_depth_range;0
15_inor_less;"15 in. or less";planters_depth_range;0
15_5_20_in;"15.5 - 20 in.";planters_depth_range;0
20_5_25_in;"20.5 - 25 in.";planters_depth_range;0
25_5_30_in;"25.5 - 30 in.";planters_depth_range;0
30_5_inor_more;"30.5 in. or more";planters_depth_range;0
20_5_24_5_in;"20.5 - 24.5 in.";dining_tables_length_range;0
25_30_in;"25 - 30 in.";dining_tables_length_range;0
30_5_42_in;"30.5 - 42 in.";dining_tables_length_range;0
42_5_50_in;"42.5 - 50 in.";dining_tables_length_range;0
50_5_63_in;"50.5 - 63 in.";dining_tables_length_range;0
63_5_80_in;"63.5 - 80 in.";dining_tables_length_range;0
80_5_inor_more;"80.5 in. or more";dining_tables_length_range;0
20_inor_less;"20 in. or less";accent_tables_length_range;0
20_5_24_5_in;"20.5 - 24.5 in.";accent_tables_length_range;0
25_30_in;"25 - 30 in.";accent_tables_length_range;0
30_5_42_in;"30.5 - 42 in.";accent_tables_length_range;0
42_5_50_in;"42.5 - 50 in.";accent_tables_length_range;0
50_5_63_in;"50.5 - 63 in.";accent_tables_length_range;0
63_5_80_in;"63.5 - 80 in.";accent_tables_length_range;0
