code;label-en_US;allowed_extensions;auto_option_sorting;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;default_value;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
sku;SKU;;;;;;;;;coreinfo;0;;;;;;;;;0;0;pim_catalog_identifier;1;1;;;
product_title;"Product Title";;;;;;;;;coreinfo;0;;;;;;;;;0;4;pim_catalog_text;0;1;;;
sustainable;Sustainable;;;;;;;;;features;0;;;;;;;;;0;2;pim_catalog_boolean;0;1;;;
made_in_the_usa;"Made In The USA";;;;;;;;;features;0;;;;;;;;;0;3;pim_catalog_boolean;0;1;;;
style;Style;;;;;;;;;webinfo;0;;;;;;;;;0;0;pim_catalog_multiselect;0;1;;;
patio_heater_type;"Patio Heater Type";;;;;;;;;webinfo;0;;;;;;;;;0;1;pim_catalog_simpleselect;0;1;;;
umbrella_type;"Umbrella Type";;;;;;;;;webinfo;0;;;;;;;;;0;2;pim_catalog_simpleselect;0;1;;;
stacking;Stacking;;;;;;;;;features;0;;;;;;;;;0;7;pim_catalog_boolean;0;1;;;
white_glove_eligible;"White Glove Eligible";;;;;;;;;shipping;0;;;;;;;;;0;8;pim_catalog_boolean;0;1;;;
assembly_required;"Assembly Required";;;;;;;;;features;0;;;;;;;;;0;10;pim_catalog_boolean;0;1;;;
furniture_material;"Furniture Material";;;;;;;;;specs;0;;;;;;;;;0;11;pim_catalog_multiselect;0;1;;;
fire_pit_material;"Fire Pit Material";;;;;;;;;specs;0;;;;;;;;;0;12;pim_catalog_multiselect;0;1;;;
heater_material;"Heater Material";;;;;;;;;specs;0;;;;;;;;;0;13;pim_catalog_simpleselect;0;1;;;
planter_material;"Planter Material";;;;;;;;;specs;0;;;;;;;;;0;14;pim_catalog_multiselect;0;1;;;
rug_material;"Rug Material";;;;;;;;;specs;0;;;;;;;;;0;15;pim_catalog_simpleselect;0;1;;;
lighting_material;"Lighting Material";;;;;;;;;specs;0;;;;;;;;;0;16;pim_catalog_multiselect;0;1;;;
cushions;Cushions;;;;;;;;;features;0;;;;;;;;;0;17;pim_catalog_simpleselect;0;1;;;
price_range;"Price Range";;;;;;;;;pricing;0;;;;;;;;;0;3;pim_catalog_simpleselect;0;1;;;
recycle_icon;"Recycle Icon";;;;;;;;;features;0;;;;;;;;;0;19;pim_catalog_boolean;0;1;;;
quick_ship_icon;"Quick Ship Icon";;;;;;;;;shipping;0;;;;;;;;;0;20;pim_catalog_boolean;0;1;;;
color_family;"Color Family";;;;;;;;;webinfo;0;;;;;;;;;0;3;pim_catalog_multiselect;0;1;;;
more_colors_icon;"More Colors Icon";;;;;;;;;webinfo;0;;;;;;;;;0;4;pim_catalog_boolean;0;1;;;
free_shipping_icon;"Free Shipping Icon";;;;;;;;;shipping;0;;;;;;;;;0;23;pim_catalog_boolean;0;1;;;
manufacturer_part_number;"Manufacturer Part Number";;;;;;;;;coreinfo;0;;;;;;;;;0;6;pim_catalog_text;0;1;;;
yahoo_google_taxonomy;"Yahoo Google Taxonomy";;;;;;;;;marketing;0;;;;;;;;;0;25;pim_catalog_text;0;1;;;
blacklist;Blacklist;;;;;;;;;marketing;0;;;;;;;;;0;26;pim_catalog_boolean;0;1;;;
highlight_1;"Highlight 1";;;;;;;;;webinfo;0;;;;;;;;;0;5;pim_catalog_text;0;1;;;
highlight_2;"Highlight 2";;;;;;;;;webinfo;0;;;;;;;;;0;6;pim_catalog_text;0;1;;;
highlight_3;"Highlight 3";;;;;;;;;webinfo;0;;;;;;;;;0;7;pim_catalog_text;0;1;;;
featured_highlight;"Featured Highlight";;;;;;;;;webinfo;0;;;;;;;;;0;9;pim_catalog_text;0;1;;;
daybed_style;"Daybed Style";;;;;;;;;features;0;;;;;;;;;0;31;pim_catalog_simpleselect;0;1;;;
wheels;Wheels;;;;;;;;;features;0;;;;;;;;;0;32;pim_catalog_simpleselect;0;1;;;
chaise_features;"Chaise Features";;;;;;;;;features;0;;;;;;;;;0;33;pim_catalog_multiselect;0;1;;;
bench_style;"Bench Style";;;;;;;;;features;0;;;;;;;;;0;34;pim_catalog_multiselect;0;1;;;
pillow_size;"Pillow Size";;;;;;;;;dimensions;0;;;;;;;;;0;1;pim_catalog_multiselect;0;1;;;
specs_highlight;"Specs Highlight";;;;;;;;;dimensions;0;;;;;;;;;0;2;pim_catalog_text;0;1;;;
collection;Collection;;;;;;;;;webinfo;0;;;;;;;;;0;10;pim_catalog_text;0;1;;;
sale_flag;"Sale Flag";;;;;;;;;marketing;0;;;;;;;;;0;38;pim_catalog_boolean;0;1;;;
availability;Availability;;;;;;;;;shipping;0;;;;;;;;;0;51;pim_catalog_boolean;0;1;;;
brand;Brand;;;;;;;;;coreinfo;0;;;;;;;;;0;7;pim_catalog_simpleselect;0;1;;;
country_of_origin;"Country of Origin";;;;;;;;;specs;0;;;;;;;;;0;58;pim_catalog_text;0;1;;;
designed_by;"Designed By";;;;;;;;;specs;0;;;;;;;;;0;59;pim_catalog_text;0;1;;;
seating_capacity;"Seating Capacity";;;;;;;;;specs;0;;;;;;;;;0;62;pim_catalog_simpleselect;0;1;;;
canopy_shape;"Canopy Shape";;;;;;;;;specs;0;;;;;;;;;0;64;pim_catalog_multiselect;0;1;;;
frame_material;"Frame Material";;;;;;;;;specs;0;;;;;;;;;0;65;pim_catalog_simpleselect;0;1;;;
ribs;Ribs;;;;;;;;;specs;0;;;;;;;;;0;66;pim_catalog_text;0;1;;;
vent_style;"Vent Style";;;;;;;;;specs;0;;;;;;;;;0;67;pim_catalog_multiselect;0;1;;;
tilt;Tilt;;;;;;;;;specs;0;;;;;;;;;0;68;pim_catalog_simpleselect;0;1;;;
lift;Lift;;;;;;;;;specs;0;;;;;;;;;0;69;pim_catalog_text;0;1;;;
lift_method;"Lift Method";;;;;;;;;specs;0;;;;;;;;;0;70;pim_catalog_simpleselect;0;1;;;
pole_diameter;"Pole Diameter";;;;;;;;;dimensions;0;;;;;;;;;0;13;pim_catalog_multiselect;0;1;;;
upf;UPF;;;;;;;;;specs;0;;;;;;;;;0;72;pim_catalog_text;0;1;;;
cutout_dimensions;"Cutout Dimensions";;;;;;;;;dimensions;0;;;;;;;;;0;15;pim_catalog_text;0;1;;;
cooking_grid_dimensions;"Cooking Grid Dimensions";;;;;;;;;dimensions;0;;;;;;;;;0;16;pim_catalog_text;0;1;;;
outdoor_kitchen_material;"Outdoor Kitchen Material";;;;;;;;;specs;0;;;;;;;;;0;77;pim_catalog_text;0;1;;;
temperature;Temperature;;;;;;;;;specs;0;;;;;;;;;0;80;pim_catalog_text;0;1;;;
btus;BTUs;;;;;;;;;specs;0;;;;;;;;;0;81;pim_catalog_text;0;1;;;
light;Light;;;;;;;;;specs;0;;;;;;;;;0;82;pim_catalog_text;0;1;;;
heat_coverage_area;"Heat Coverage Area";;;;;;;;;specs;0;;;;;;;;;0;83;pim_catalog_simpleselect;0;1;;;
watts;Watts;;;;;;;;;specs;0;;;;;;;;;0;84;pim_catalog_text;0;1;;;
voltage;Voltage;;;;;;;;;specs;0;;;;;;;;;0;85;pim_catalog_text;0;1;;;
btu_range;"BTU Range";;;;;;;;;specs;0;;;;;;;;;0;86;pim_catalog_simpleselect;0;1;;;
amp_rating;"Amp Rating";;;;;;;;;specs;0;;;;;;;;;0;87;pim_catalog_text;0;1;;;
model;Model;;;;;;;;;webinfo;0;;;;;;;;;0;14;pim_catalog_text;0;1;;;
hidden_tank;"Hidden Tank (Y/N)";;;;;;;;;specs;0;;;;;;;;;0;90;pim_catalog_boolean;0;1;;;
grill_size_range;"Grill Size Range";;;;;;;;;dimensions;0;;;;;;;;;0;19;pim_catalog_multiselect;0;1;;;
umbrella_size_range;"Umbrella Size Range";;;;;;;;;dimensions;0;;;;;;;;;0;20;pim_catalog_multiselect;0;1;;;
rug_size;"Rug Size";;;;;;;;;dimensions;0;;;;;;;;;0;21;pim_catalog_multiselect;0;1;;;
rug_shape;"Rug Shape";;;;;;;;;specs;0;;;;;;;;;0;94;pim_catalog_multiselect;0;1;;;
heating_fuel;"Heating Fuel";;;;;;;;;specs;0;;;;;;;;;0;98;pim_catalog_multiselect;0;1;;;
cooking_fuel;"Cooking Fuel";;;;;;;;;specs;0;;;;;;;;;0;99;pim_catalog_multiselect;0;1;;;
ignition_type;"Ignition Type";;;;;;;;;specs;0;;;;;;;;;0;100;pim_catalog_text;0;1;;;
lava_rock_fireglass_included;"Lava Rock/Fireglass Included? (Y/N)";;;;;;;;;specs;0;;;;;;;;;0;101;pim_catalog_boolean;0;1;;;
certification;Certification;;;;;;;;;specs;0;;;;;;;;;0;103;pim_catalog_text;0;1;;;
construction;Construction;;;;;;;;;specs;0;;;;;;;;;0;105;pim_catalog_simpleselect;0;1;;;
reversible;"Reversible? (Y/N)";;;;;;;;;specs;0;;;;;;;;;0;106;pim_catalog_boolean;0;1;;;
product_video_url;"Product Video Url";;;;;;;;;media;0;;;;;;;;;0;0;pim_catalog_text;0;1;;;
