CustomFields,Pim field name,Data type,metrics
Accent Tables Height Range,accent_tables_height_range,pim_catalog_multiselect,
Accent Tables Length Range,accent_tables_length_range,pim_catalog_multiselect,
Accent Tables Width Range,accent_tables_width_range,pim_catalog_multiselect,
Accesories Included,accesories_included,pim_catalog_text,
Amp Rating,amp_rating,pim_catalog_text,
Arm Height,arm_height,pim_catalog_metric,INCH
Aspect Ratio,aspect_ratio,pim_catalog_text,
Assembly Required,assembly_required,pim_catalog_boolean,
Audio Output Connectors,audio_output_connectors,pim_catalog_text,
Base SKU,base_sku,pim_catalog_text,
Beaufort Scale,beaufort_scale,pim_catalog_number,
Bench Style,bench_style,pim_catalog_multiselect,
Blacklist,blacklist,pim_catalog_boolean,
Brand,brand,pim_catalog_simpleselect,
BTU Range,btu_range,pim_catalog_simpleselect,
BTUs,btus,pim_catalog_text,
Burner Pan Size ( in.),burner_pan_size,pim_catalog_metric,INCH
Burner Ring Size ( in.),burner_ring_size,pim_catalog_metric,INCH
Canopy Shape,canopy_shape,pim_catalog_multiselect,
Certification,certification,pim_catalog_text,
Features,chaise_features,pim_catalog_multiselect,
Clearance ( in.),clearance,pim_catalog_metric,INCH
Collection,collection,pim_catalog_text,
Color,color_family,pim_catalog_multiselect,
Construction,construction,pim_catalog_simpleselect,
Contrast Ratio,contrast_ratio,pim_catalog_text,
Control Set,control_set,pim_catalog_text,
Cooking Fuel,cooking_fuel,pim_catalog_multiselect,
Cooking Grid Dimensions ( in.),cooking_grid_dimensions,pim_catalog_text,
Cooking Surface (sq. in.),cooking_surface,pim_catalog_metric,INCH
Country of Origin,country_of_origin,pim_catalog_text,
Cushion Dimensions,cushion_dimensions,pim_catalog_text,
Cushions,cushions,pim_catalog_simpleselect,
Cutout Dimensions ( in.),cutout_dimensions,pim_catalog_text,
Daybed Style,daybed_style,pim_catalog_simpleselect,
Delivery Estimate High,delivery_estimate_high,pim_catalog_metric,INCH
Delivery Estimate Low,delivery_estimate_low,pim_catalog_metric,INCH
Designer,designed_by,pim_catalog_text,
Dining Tables Height Range,dining_tables_height_range,pim_catalog_multiselect,
Dining Tables Length Range,dining_tables_length_range,pim_catalog_multiselect,
Dining Tables Width Range,dining_tables_width_range,pim_catalog_multiselect,
Featured Highlight,featured_highlight,pim_catalog_text,
Fire Pit Fill Material,fire_pit_fill_material,pim_catalog_simpleselect,
Fire Pit Material,fire_pit_material,pim_catalog_multiselect,
Fire Pits Depth Range,fire_pits_depth_range,pim_catalog_multiselect,
Fire Pits Width Range,fire_pits_width_range,pim_catalog_multiselect,
Fire Tool Finish,fire_tool_finish,pim_catalog_text,
Fire Tool Material,fire_tool_material,pim_catalog_multiselect,
Fire Tool Style,fire_tool_style,pim_catalog_simpleselect,
Formats,formats,pim_catalog_text,
Frame Material,frame_material,pim_catalog_simpleselect,
Frame Rate,frame_rate,pim_catalog_text,
Free Shipping Icon,free_shipping_icon,pim_catalog_boolean,
Material,furniture_material,pim_catalog_multiselect,
Grill Size Range,grill_size_range,pim_catalog_multiselect,
HDBaseT Connections,hdbaset_connections,pim_catalog_text,
HDMI,hdmi,pim_catalog_text,
Heat Coverage Area,heat_coverage_area,pim_catalog_simpleselect,
Heater Material,heater_material,pim_catalog_simpleselect,
Fuel,cooking_fuel,pim_catalog_multiselect,
Hidden Tank (Y/N),hidden_tank,pim_catalog_boolean,
Hide Swatch,hide_swatch,pim_catalog_textarea,
Highlight 1,highlight_1,pim_catalog_text,
Highlight 2,highlight_2,pim_catalog_text,
Highlight 3,highlight_3,pim_catalog_text,
Highlight 4,highlight_4,pim_catalog_text,
Hose Length (ft),hose_length,pim_catalog_metric,INCH
Ignition Type,ignition_type,pim_catalog_text,
Image 1,image_1,pim_catalog_image,
Image 10,image_10,pim_catalog_image,
Image 2,image_2,pim_catalog_image,
Image 3,image_3,pim_catalog_image,
Image 4,image_4,pim_catalog_image,
Image 5,image_5,pim_catalog_image,
Image 6,image_6,pim_catalog_image,
Image 7,image_7,pim_catalog_image,
Image 8,image_8,pim_catalog_image,
Image 9,image_9,pim_catalog_image,
Image Description 1,image_description_1,pim_catalog_text,
Image Description 10,image_description_10,pim_catalog_text,
Image Description 2,image_description_2,pim_catalog_text,
Image Description 3,image_description_3,pim_catalog_text,
Image Description 4,image_description_4,pim_catalog_text,
Image Description 5,image_description_5,pim_catalog_text,
Image Description 6,image_description_6,pim_catalog_text,
Image Description 7,image_description_7,pim_catalog_text,
Image Description 8,image_description_8,pim_catalog_text,
