category_code,family_code
792,outdoor_kitchens_built_in_grills
1061,outdoor_kitchens_other
795,outdoor_kitchens_other
796,outdoor_kitchens_other
797,outdoor_kitchens_other
1066,outdoor_kitchens_other
791,outdoor_kitchens_other
1067,outdoor_kitchens_refrigeration
1068,outdoor_kitchens_other
1069,outdoor_kitchens_ovens_burners
1070,outdoor_kitchens_other
2510,outdoor_kitchens_freestanding_grills
2511,outdoor_kitchens_built_in_grills
1241,outdoor_kitchens_freestanding_grills
790,outdoor_kitchens_freestanding_grills
2313,outdoor_kitchens_ovens_burners
800,umbrellas_umbrellas
952,umbrellas_umbrellas
898,umbrellas_umbrellas
1072,umbrellas_umbrellas
1195,umbrellas_umbrellas
2514,umbrellas_umbrellas
2579,umbrellas_umbrellas
899,umbrellas_umbrella_canopies
904,umbrellas_other
905,umbrellas_umbrella_bases
1074,umbrellas_umbrella_frames
1075,umbrellas_bottom_poles
1076,umbrellas_other
1214,umbrellas_other
907,outdoor_heating_fire_pit_accessories_fire_pit_fill
2515,outdoor_heating_patio_heaters
2516,outdoor_heating_patio_heaters
2517,outdoor_heating_patio_heaters
2518,outdoor_heating_patio_heaters
2884,outdoor_heating_other
910,outdoor_heating_other
2527,outdoor_heating_fire_pits
2528,outdoor_heating_fire_pits
2283,accessories_lighting
915,accessories_planters
2501,accessories_planters
2502,accessories_planters
2503,accessories_planters
2504,accessories_planters
2507,accessories_planters
939,electronics_tvs
941,accessories_other
2433,accessories_other
2435,electronics_other
931,accessories_other
932,accessories_other
936,outdoor_furniture_replacement_cushions
937,accessories_other
1103,accessories_other
2521,outdoor_furniture_other
774,outdoor_furniture_seating_benches
777,outdoor_furniture_seating_chaises
778,outdoor_furniture_seating_deep_seating
779,outdoor_furniture_seating_deep_seating
780,outdoor_furniture_seating_ottomans
816,outdoor_furniture_seating_deep_seating
1033,outdoor_furniture_sets_lounging_sets
1049,outdoor_furniture_tables_accent_tables
1116,outdoor_furniture_seating_deep_seating
1121,outdoor_furniture_seating_deep_seating
2269,outdoor_furniture_seating_dining_chairs
2270,outdoor_furniture_seating_dining_chairs
2271,outdoor_furniture_tables_dining_tables
2272,outdoor_furniture_tables_dining_tables
2273,outdoor_furniture_other
2274,outdoor_furniture_sets_dining_sets
933,accessories_other
935,accessories_pillows
1098,accessories_lighting
1134,accessories_rugs
2837,outdoor_furniture_seating_ottomans
2855,accessories_artificial_plants
